create_date,fps
2018-03-28-22:10:06,59.90783410138249
2018-03-28-22:10:06,38.62660944206009
2018-03-28-22:10:06,44.776119402985074
2018-03-28-22:10:07,47.21030042918455
2018-03-28-22:10:07,59.701492537313435
2018-03-28-22:10:08,59.90783410138249
2018-03-28-22:10:08,59.90783410138249
2018-03-28-22:10:08,59.90783410138249
2018-03-28-22:10:09,55.29953917050691
2018-03-28-22:10:09,59.90783410138249
2018-03-28-22:10:10,59.90783410138249
2018-03-28-22:10:10,59.90783410138249
2018-03-28-22:10:10,59.90783410138249
2018-03-28-22:10:10,59.90783410138249
2018-03-28-22:10:11,59.90783410138249
2018-03-28-22:10:11,59.90783410138249
2018-03-28-22:10:11,59.90783410138249
2018-03-28-22:10:11,59.90783410138249
